,Shape_Leng,GlobalID,Num,STRIN,STRIN_Desc,Legacy_Nam,Section,M_Start,M_End,City_Town,County,S_Lat,S_Long,M_Lat,M_Long,E_Lat,E_Long,Leg_Length,Leg_Height,Haz_Class,Haz_Rating,Side,Type,Comment,InterimNam,milepost,z
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.70713806152344,465.5312627045801
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.7281951904297,465.374536769781
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.7342071533203,465.2690695240151
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.74021911621094,464.998220441397
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.74107360839844,465.0299448953497
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.74508666992188,464.98567983255253
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.75059509277344,465.08235596328365
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.7700958251953,465.1685585842904
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.77816772460938,464.97625258623646
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.78680419921875,464.99000087107197
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.8000030517578,464.8244549355904
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.81222534179688,464.80127506181947
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.83042907714844,465.0938341514658
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.8590850830078,465.025203446239
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.87771606445312,465.14971999302946
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.89999389648438,464.69396026081967
