InterimNam,Side,milepost,z,,,,,
N_256.37_256.98,North,256.3814072,515.7100219726562,,,,,
N_256.37_256.98,North,256.3915701,515.7299805,,,,,
S_256.36_256.50,South,256.392197,515.5399780273438,,,,,
N_256.37_256.98,North,256.394072,515.9099731445312,,,,,
N_256.37_256.98,North,256.4025152,515.7899780273438,,,,,
N_256.37_256.98,North,256.4109583,515.9199829101562,,,,,
S_256.36_256.50,South,256.420928,515.7800293,,,,,
N_256.37_256.98,North,256.4253049,515.4600219726562,,,,,
N_256.37_256.98,North,256.4615568,516.0399780273438,,,,,
N_256.37_256.98,North,256.490642,516.2100219726562,,,,,
N_256.37_256.98,North,256.5047045,516.4099731445312,,,,,
S_256.51_256.98,South,256.51,514.9299926757812,,,,,
S_256.51_256.98,South,256.5182633,516.1400146484375,,,,,
N_256.37_256.98,North,256.520947,516.7600098,,,,,
S_256.51_256.98,South,256.5368731,517.8300170898438,,,,,
S_256.51_256.98,South,256.5540625,518.0599975585938,,,,,
N_256.37_256.98,North,256.5856042,517.1500244140625,,,,,
S_256.51_256.98,South,256.5874886,517.5100098,,,,,
S_256.51_256.98,South,256.5890549,517.4699707,,,,,
S_256.51_256.98,South,256.6009337,516.6199951171875,,,,,
S_256.51_256.98,South,256.6031136,516.6199951171875,,,,,
N_256.37_256.98,North,256.6181288,517.0200195,,,,,
N_256.37_256.98,North,256.6278333,517.2800293,,,,,
S_256.51_256.98,South,256.628411,516.5999755859375,,,,,
S_256.51_256.98,South,256.6312481,516.0300293,,,,,
S_256.51_256.98,South,256.6425038,516.5399780273438,,,,,
N_256.37_256.98,North,256.6506553,517.5599975585938,,,,,
S_256.51_256.98,South,256.6509432,516.3800048828125,,,,,
S_256.51_256.98,South,256.6656553,516.2100219726562,,,,,
S_256.51_256.98,South,256.6790795,517.1500244140625,,,,,
N_256.37_256.98,North,256.680714,517.2800293,,,,,
S_256.51_256.98,South,256.6937898,516.3300170898438,,,,,
N_256.37_256.98,North,256.7015795,517.5900268554688,,,,,
N_256.37_256.98,North,256.7050568,517.5300293,,,,,
S_256.51_256.98,South,256.7221496,516.6500244140625,,,,,
S_256.51_256.98,South,256.7449924,516.7700195,,,,,
N_256.37_256.98,North,256.7453712,516.7199707,,,,,
S_256.51_256.98,South,256.7610095,516.5300293,,,,,
S_256.51_256.98,South,256.7624243,516.6199951171875,,,,,
S_256.51_256.98,South,256.7800663,516.8400268554688,,,,,
N_256.37_256.98,North,256.783894,517.8400268554688,,,,,
S_256.51_256.98,South,256.7855947,517.0599975585938,,,,,
S_256.51_256.98,South,256.7878598,516.4799805,,,,,
N_256.37_256.98,North,256.7882178,517.9400024414062,,,,,
S_256.51_256.98,South,256.7892727,516.4099731445312,,,,,
S_256.51_256.98,South,256.7988182,516.2000122070312,,,,,
N_256.37_256.98,North,256.8086061,517.8499755859375,,,,,
N_256.37_256.98,North,256.8149413,517.9500122070312,,,,,
N_256.37_256.98,North,256.8177784,517.8499755859375,,,,,
S_256.51_256.98,South,256.8325341,517,,,,,
N_256.37_256.98,North,256.8355076,517.3099975585938,,,,,
S_256.51_256.98,South,256.8390492,517.0900268554688,,,,,
S_256.51_256.98,South,256.8450549,516.3599853515625,,,,,
S_256.51_256.98,South,256.8505606,517,,,,,
N_256.37_256.98,North,256.8527292,517.4699707,,,,,
S_256.51_256.98,South,256.8755833,516.3800048828125,,,,,
S_256.51_256.98,South,256.9263674,515.7800293,,,,,
S_256.51_256.98,South,256.9545265,515.4799805,,,,,
S_256.51_256.98,South,256.9552273,515.4500122070312,,,,,
S_256.51_256.98,South,256.9569583,515.3099975585938,,,,,
S_256.51_256.98,South,256.962017,515.2999877929688,,,,,
S_257.01_258.00,South,257.01,517.75,,,,,
N_257.02_257.69,North,257.02,518.8900146484375,,,,,
N_257.02_257.69,North,257.0349811,518.8499755859375,,,,,
S_257.01_258.00,South,257.0462462,516.9400024414062,,,,,
S_257.01_258.00,South,257.0575,516.7800293,,,,,
S_257.01_258.00,South,257.0934451,518.4400024414062,,,,,
N_257.02_257.69,North,257.116875,518.4400024414062,,,,,
S_257.01_258.00,South,257.1181193,519.2999877929688,,,,,
N_257.02_257.69,North,257.1568939,518.7999877929688,,,,,
N_257.02_257.69,North,257.1837121,518.9500122070312,,,,,
S_257.01_258.00,South,257.2092765,519.0599975585938,,,,,
N_257.02_257.69,North,257.2272159,518.0999755859375,,,,,
S_257.01_258.00,South,257.2384754,517.4299926757812,,,,,
N_257.02_257.69,North,257.2402273,517.75,,,,,
N_257.02_257.69,North,257.2728788,517.8599853515625,,,,,
N_257.02_257.69,North,257.3031629,518.5499877929688,,,,,
S_257.01_258.00,South,257.3041212,517.1900024414062,,,,,
N_257.02_257.69,North,257.3082007,518.4400024414062,,,,,
S_257.01_258.00,South,257.3459583,515.9699707,,,,,
S_257.01_258.00,South,257.3544507,515.7600098,,,,,
N_257.02_257.69,North,257.3647159,516.3699951171875,,,,,
N_257.02_257.69,North,257.3652273,516.3200073242188,,,,,
N_257.02_257.69,North,257.4175757,517.0200195,,,,,
N_257.02_257.69,North,257.4582007,516.7600098,,,,,
N_257.02_257.69,North,257.4760796,516.8099975585938,,,,,
S_257.01_258.00,South,257.4985644,516.0399780273438,,,,,
N_257.02_257.69,North,257.4996023,516.5700073242188,,,,,
N_257.02_257.69,North,257.5079545,516.8099975585938,,,,,
N_257.02_257.69,North,257.534678,517.3099975585938,,,,,
N_257.02_257.69,North,257.5375568,517.1699829101562,,,,,
S_257.01_258.00,South,257.5429299,516.9899902,,,,,
N_257.02_257.69,North,257.6099243,516.1699829101562,,,,,
N_257.02_257.69,North,257.6113257,516.0999755859375,,,,,
N_257.02_257.69,North,257.6313068,515.7700195,,,,,
N_257.02_257.69,North,257.6572538,516.6300048828125,,,,,
S_257.01_258.00,South,257.6579886,518.0900268554688,,,,,
N_257.02_257.69,North,257.6667046,516.3900146484375,,,,,
S_257.01_258.00,South,257.6670682,517.5700073242188,,,,,
N_257.02_257.69,North,257.6683523,516.4699707,,,,,
S_257.01_258.00,South,257.6891894,517.0700073242188,,,,,
S_257.01_258.00,South,257.7283769,516.7800293,,,,,
S_257.01_258.00,South,257.7334356,516.9299926757812,,,,,
S_257.01_258.00,South,257.7370512,516.8200073242188,,,,,
S_257.01_258.00,South,257.7421118,516.8800048828125,,,,,
N_257.75_257.81,North,257.75,516.6199951171875,,,,,
N_257.75_257.81,North,257.7536742,516.6199951171875,,,,,
N_257.75_257.81,North,257.760625,516.5900268554688,,,,,
N_257.75_257.81,North,257.765303,516.5399780273438,,,,,
S_257.01_258.00,South,257.7670265,515.9600219726562,,,,,
N_257.75_257.81,North,257.7918939,516.7800293,,,,,
N_257.75_257.81,North,257.793428,516.7800293,,,,,
N_257.75_257.81,North,257.7993939,517.0700073242188,,,,,
S_257.01_258.00,South,257.8027689,515.9400024414062,,,,,
S_257.01_258.00,South,257.810625,516.2199707,,,,,
S_257.01_258.00,South,257.8180568,516.4299926757812,,,,,
S_257.01_258.00,South,257.8219678,516.3200073242188,,,,,
S_257.01_258.00,South,257.8348731,515.8800048828125,,,,,
S_257.01_258.00,South,257.8389507,515.7899780273438,,,,,
S_257.01_258.00,South,257.8499318,515.9199829101562,,,,,
S_257.01_258.00,South,257.8788333,516.0599975585938,,,,,
S_257.01_258.00,South,257.8859375,516.1199951171875,,,,,
N_257.90_258.01,North,257.9,516.6699829101562,,,,,
N_257.90_258.01,North,257.9012879,516.6500244140625,,,,,
N_257.90_258.01,North,257.934053,516.2700195,,,,,
N_257.90_258.01,North,257.9431061,516.25,,,,,
N_257.90_258.01,North,257.952178,516.0499877929688,,,,,
N_257.90_258.01,North,257.9549621,516.2399902,,,,,
N_257.90_258.01,North,257.9577841,516.0999755859375,,,,,
N_257.90_258.01,North,257.969053,516.1199951171875,,,,,
N_257.90_258.01,North,257.9862121,516,,,,,
N_257.90_258.01,North,257.995,516.5300293,,,,,
N_257.90_258.01,North,258.0049621,516.4099731445312,,,,,
N_257.90_258.01,North,258.0144129,516.3499755859375,,,,,
N_257.90_258.01,North,258.014678,516.3599853515625,,,,,
S_258.15_258.45,South,258.15,518.4299926757812,,,,,
S_258.15_258.45,South,258.1862311,518.25,,,,,
S_258.15_258.45,South,258.1899811,519.1400146484375,,,,,
N_245.389_245.4,North,245.389,464,,,,,
N_245.389_245.4,North,245.3950985,463.94000244140625,,,,,
S_258.15_258.45,South,258.197822,518.9500122070312,,,,,
S_258.15_258.45,South,258.2043561,518.5800170898438,,,,,
S_258.15_258.45,South,258.2202841,519.4099731445312,,,,,
S_258.15_258.45,South,258.2371591,519.5300293,,,,,
S_258.15_258.45,South,258.243447,519.25,,,,,
S_258.15_258.45,South,258.2625,518.2399902,,,,,
S_258.15_258.45,South,258.275947,520.2199707,,,,,
S_258.15_258.45,South,258.2840341,521.9699707,,,,,
S_258.15_258.45,South,258.3028598,522.1099853515625,,,,,
S_258.15_258.45,South,258.309375,522,,,,,
S_258.15_258.45,South,258.3143371,522.3300170898438,,,,,
S_258.15_258.45,South,258.3275189,521.6400146484375,,,,,
